EQPT_ID,OPERATING_MODE,CHAMBER_KEY,THP_FACTOR
EQ_WAFER_617,*,111001000000000000,60
EQ_WAFER_617,*,110101000000000000,60
EQ_WAFER_617,*,110011000000000000,60
EQ_WAFER_617,*,101101000000000000,60
EQ_WAFER_617,*,101011000000000000,60
EQ_WAFER_617,*,100111000000000000,60
EQ_WAFER_617,*,011101000000000000,60
EQ_WAFER_617,*,011011000000000000,60
EQ_WAFER_617,*,010111000000000000,60
EQ_WAFER_617,*,001111000000000000,60
EQ_WAFER_617,*,110001000000000000,40
EQ_WAFER_617,*,101001000000000000,40
EQ_WAFER_617,*,100101000000000000,40
EQ_WAFER_617,*,100011000000000000,40
EQ_WAFER_617,*,011001000000000000,40
EQ_WAFER_617,*,010101000000000000,40
EQ_WAFER_617,*,010011000000000000,40
EQ_WAFER_617,*,001101000000000000,40
EQ_WAFER_617,*,001011000000000000,40
EQ_WAFER_617,*,000111000000000000,40
EQ_WAFER_617,*,100001000000000000,20
EQ_WAFER_617,*,010001000000000000,20
EQ_WAFER_617,*,001001000000000000,20
EQ_WAFER_617,*,000101000000000000,20
EQ_WAFER_617,*,000011000000000000,20
EQ_WAFER_616,*,111111000000000000,100
EQ_WAFER_616,*,111101000000000000,80
EQ_WAFER_616,*,111011000000000000,80
EQ_WAFER_616,*,110111000000000000,80
EQ_WAFER_616,*,101111000000000000,80
EQ_WAFER_616,*,011111000000000000,80
EQ_WAFER_616,*,111001000000000000,60
EQ_WAFER_616,*,110101000000000000,60
EQ_WAFER_616,*,110011000000000000,60
EQ_WAFER_616,*,101101000000000000,60
EQ_WAFER_616,*,101011000000000000,60
EQ_WAFER_616,*,100111000000000000,60
EQ_WAFER_616,*,011101000000000000,60
EQ_WAFER_616,*,011011000000000000,60
EQ_WAFER_616,*,010111000000000000,60
EQ_WAFER_616,*,001111000000000000,60
EQ_WAFER_616,*,110001000000000000,40
EQ_WAFER_616,*,101001000000000000,40
EQ_WAFER_616,*,100101000000000000,40
EQ_WAFER_616,*,100011000000000000,40
EQ_WAFER_616,*,011001000000000000,40
EQ_WAFER_616,*,010101000000000000,40
EQ_WAFER_616,*,010011000000000000,40
EQ_WAFER_616,*,001101000000000000,40
EQ_WAFER_616,*,001011000000000000,40
EQ_WAFER_616,*,000111000000000000,40
EQ_WAFER_616,*,100001000000000000,20
EQ_WAFER_616,*,010001000000000000,20
EQ_WAFER_616,*,001001000000000000,20
EQ_WAFER_616,*,000101000000000000,20
EQ_WAFER_616,*,000011000000000000,20
EQ_WAFER_615,*,111110000000000000,100
EQ_WAFER_615,*,111010000000000000,75
EQ_WAFER_615,*,110110000000000000,75
EQ_WAFER_615,*,101110000000000000,75
EQ_WAFER_615,*,011110000000000000,75
EQ_WAFER_615,*,110010000000000000,50
EQ_WAFER_615,*,101010000000000000,50
EQ_WAFER_615,*,100110000000000000,50
EQ_WAFER_615,*,011010000000000000,50
EQ_WAFER_615,*,010110000000000000,50
EQ_WAFER_615,*,001110000000000000,50
EQ_WAFER_615,*,000110000000000000,50
EQ_WAFER_615,*,100010000000000000,25
EQ_WAFER_615,*,010010000000000000,25
EQ_WAFER_615,*,001010000000000000,25
EQ_WAFER_614,*,111111000000000000,100
EQ_WAFER_614,*,111101000000000000,80
EQ_WAFER_614,*,111011000000000000,80
EQ_WAFER_614,*,110111000000000000,80
EQ_WAFER_614,*,101111000000000000,80
EQ_WAFER_614,*,011111000000000000,80
EQ_WAFER_614,*,111001000000000000,60
EQ_WAFER_614,*,110101000000000000,60
EQ_WAFER_614,*,110011000000000000,60
EQ_WAFER_614,*,101101000000000000,60
EQ_WAFER_614,*,101011000000000000,60
EQ_WAFER_614,*,100111000000000000,60
EQ_WAFER_614,*,011101000000000000,60
EQ_WAFER_614,*,011011000000000000,60
EQ_WAFER_614,*,010111000000000000,60
EQ_WAFER_614,*,001111000000000000,60
EQ_WAFER_614,*,110001000000000000,40
EQ_WAFER_614,*,101001000000000000,40
EQ_WAFER_614,*,100101000000000000,40
EQ_WAFER_614,*,100011000000000000,40
EQ_WAFER_614,*,011001000000000000,40
EQ_WAFER_614,*,010101000000000000,40
EQ_WAFER_614,*,010011000000000000,40
EQ_WAFER_614,*,001101000000000000,40
EQ_WAFER_614,*,001011000000000000,40
EQ_WAFER_614,*,000111000000000000,40
EQ_WAFER_614,*,100001000000000000,20
EQ_WAFER_614,*,010001000000000000,20
EQ_WAFER_614,*,001001000000000000,20
EQ_WAFER_614,*,000101000000000000,20
EQ_WAFER_614,*,000011000000000000,20
EQ_WAFER_613,*,111110000000000000,100
EQ_WAFER_613,*,111010000000000000,75
EQ_WAFER_613,*,110110000000000000,75
EQ_WAFER_613,*,101110000000000000,75
EQ_WAFER_613,*,011110000000000000,75
EQ_WAFER_613,*,110010000000000000,50
EQ_WAFER_613,*,101010000000000000,50
EQ_WAFER_613,*,100110000000000000,50
EQ_WAFER_613,*,011010000000000000,50
EQ_WAFER_613,*,010110000000000000,50
EQ_WAFER_613,*,001110000000000000,50
EQ_WAFER_613,*,000110000000000000,50
EQ_WAFER_613,*,100010000000000000,25
EQ_WAFER_613,*,010010000000000000,25
EQ_WAFER_613,*,001010000000000000,25
EQ_WAFER_612,*,111111000000000000,100
EQ_WAFER_612,*,111101000000000000,80
EQ_WAFER_612,*,111011000000000000,80
EQ_WAFER_612,*,110111000000000000,80
EQ_WAFER_612,*,101111000000000000,80
EQ_WAFER_612,*,011111000000000000,80
EQ_WAFER_612,*,111001000000000000,60
EQ_WAFER_612,*,110101000000000000,60
EQ_WAFER_612,*,110011000000000000,60
EQ_WAFER_612,*,101101000000000000,60
EQ_WAFER_612,*,101011000000000000,60
EQ_WAFER_612,*,100111000000000000,60
EQ_WAFER_612,*,011101000000000000,60
EQ_WAFER_612,*,011011000000000000,60
EQ_WAFER_612,*,010111000000000000,60
EQ_WAFER_612,*,001111000000000000,60
EQ_WAFER_612,*,110001000000000000,40
EQ_WAFER_612,*,101001000000000000,40
EQ_WAFER_612,*,100101000000000000,40
EQ_WAFER_612,*,100011000000000000,40
