FAB,EQPT_ID,EQPT_GROUP_NAME,RECIPE,PRODUCT,FULL_RAW_PROCESS_TIME_IN_MINS,HALF_RAW_PROCESS_TIME_IN_MINS,FULL_INTERVAL_IN_MINS,HALF_INTERVAL_IN_MINS,FULL_RAW_PROCESS_TIME_DIST,HALF_RAW_PROCESS_TIME_DIST,STAGE
SIMTECH,EQ_WAFER_373,,REC_WAFER_514,*,102,,4.6,,,,*
SIMTECH,EQ_WAFER_373,,REC_WAFER_521,*,102,,4.53,,,,*
SIMTECH,EQ_WAFER_373,,REC_WAFER_528,*,102,,4.38,,,,*
SIMTECH,EQ_WAFER_373,,REC_WAFER_535,*,102,,4.3,,,,*
SIMTECH,EQ_WAFER_373,,REC_WAFER_542,*,102,,4.05,,,,*
SIMTECH,EQ_WAFER_373,,*,*,100.22,,4.38,,,,*
SIMTECH,EQ_WAFER_374,,REC_WAFER_433,*,103,,4,,,,*
SIMTECH,EQ_WAFER_374,,REC_WAFER_441,*,103,,4.13,,,,*
SIMTECH,EQ_WAFER_374,,REC_WAFER_449,*,87,,3.98,,,,*
SIMTECH,EQ_WAFER_374,,REC_WAFER_457,*,87,,4.13,,,,*
SIMTECH,EQ_WAFER_374,,REC_WAFER_465,*,103,,4.58,,,,*
SIMTECH,EQ_WAFER_374,,REC_WAFER_473,*,111,,4.33,,,,*
SIMTECH,EQ_WAFER_374,,REC_WAFER_481,*,108,,4.53,,,,*
SIMTECH,EQ_WAFER_374,,REC_WAFER_507,*,102,,4.65,,,,*
SIMTECH,EQ_WAFER_374,,REC_WAFER_514,*,102,,4.6,,,,*
SIMTECH,EQ_WAFER_374,,REC_WAFER_521,*,102,,4.53,,,,*
SIMTECH,EQ_WAFER_374,,REC_WAFER_528,*,102,,4.38,,,,*
SIMTECH,EQ_WAFER_374,,REC_WAFER_535,*,102,,4.3,,,,*
SIMTECH,EQ_WAFER_374,,REC_WAFER_542,*,102,,4.05,,,,*
